Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
4.4040          -17.647      -21.433        3.786   305.1
4.4050          -17.607      -21.409        3.802   306.4
4.4060          -17.543      -21.387        3.845   309.8
4.4070          -17.502      -21.401        3.899   314.2
4.4080          -17.447      -21.423        3.975   320.4
4.4090          -17.520      -21.455        3.934   317.1
4.4100          -17.496      -21.487        3.991   321.6
4.4110          -17.531      -21.512        3.980   320.8
4.4120          -17.567      -21.531        3.964   319.5
4.4130          -17.612      -21.555        3.943   317.8
4.4140          -17.636      -21.569        3.934   317.0
4.4150          -17.634      -21.565        3.930   316.7
4.4160          -17.533      -21.557        4.023   324.2
4.4170          -17.574      -21.531        3.957   318.9
4.4180          -17.545      -21.477        3.932   316.9
4.4190          -17.553      -21.405        3.851   310.4
4.4200          -17.504      -21.350        3.846   310.0
4.4210          -17.548      -21.303        3.755   302.6
4.4220          -17.513      -21.243        3.730   300.6
4.4230          -17.522      -21.184        3.662   295.1
4.4240          -17.590      -21.134        3.544   285.6
4.4250          -17.510      -21.082        3.572   287.8
4.4260          -17.561      -21.068        3.506   282.6
4.4270          -17.618      -21.063        3.444   277.6
4.4280          -17.650      -21.054        3.404   274.3
4.4290          -17.633      -21.047        3.414   275.1
4.4300          -17.547      -21.052        3.505   282.4
4.4310          -17.532      -21.071        3.539   285.2
4.4320          -17.586      -21.111        3.525   284.1
4.4330          -17.572      -21.156        3.584   288.8
4.4340          -17.490      -21.204        3.714   299.3
4.4350          -17.598      -21.239        3.641   293.4
4.4360          -17.582      -21.258        3.675   296.2
4.4370          -17.596      -21.279        3.684   296.9
4.4380          -17.544      -21.268        3.723   300.1
4.4390          -17.586      -21.242        3.656   294.6
4.4400          -17.560      -21.196        3.635   293.0
4.4410          -17.621      -21.155        3.534   284.8
4.4420          -17.556      -21.122        3.566   287.4
4.4430          -17.625      -21.085        3.460   278.8
4.4440          -17.594      -21.039        3.445   277.6
4.4450          -17.690      -21.040        3.350   270.0
4.4460          -17.775      -21.051        3.276   264.0
4.4470          -17.752      -21.059        3.307   266.5
4.4480          -17.853      -21.071        3.218   259.4
4.4490          -17.866      -21.090        3.224   259.8
4.4500          -17.836      -21.103        3.267   263.2
4.4510          -17.810      -21.133        3.323   267.8
4.4520          -17.679      -21.162        3.484   280.7
4.4530          -17.619      -21.204        3.584   288.9
4.4540          -17.712      -21.216        3.504   282.4
4.4550          -17.754      -21.237        3.483   280.7
4.4560          -17.840      -21.235        3.395   273.6
4.4570          -17.852      -21.228        3.376   272.1
4.4580          -17.894      -21.227        3.334   268.7
4.4590          -17.889      -21.245        3.356   270.4
4.4600          -17.811      -21.283        3.473   279.8
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000            9.037        5.526        3.510   282.9
0.0020            8.826        5.009        3.817   307.6
0.0040            8.581        3.731        4.850   390.9
0.0060            8.528        1.964        6.564   529.0
0.0080            8.175       -0.099        8.274   666.7
0.0100            7.718       -2.196        9.914   798.9
0.0120            6.970       -3.960       10.930   880.8
0.0140            6.422       -5.172       11.594   934.3
0.0160            5.715       -5.879       11.594   934.4
0.0180            4.528       -6.296       10.824   872.3
0.0200            3.966       -6.648       10.614   855.3
0.0220            3.921       -7.033       10.955   882.8
0.0240            3.268       -7.528       10.797   870.1
0.0260            2.561       -8.151       10.712   863.2
0.0280            1.955       -8.880       10.835   873.2
0.0300            1.465       -9.654       11.119   896.1
0.0320            1.151      -10.404       11.555   931.2
0.0340            0.407      -11.050       11.457   923.2
0.0360           -0.290      -11.492       11.202   902.7
0.0380           -0.705      -11.859       11.154   898.9
0.0400           -1.613      -12.110       10.497   845.9
0.0420           -1.784      -12.212       10.428   840.4
0.0440           -2.507      -12.277        9.770   787.3
0.0460           -2.848      -12.381        9.533   768.2
0.0480           -3.588      -12.516        8.928   719.5
0.0500           -3.971      -12.697        8.726   703.2
0.0520           -4.478      -12.945        8.467   682.3
0.0540           -4.664      -13.169        8.504   685.3
0.0560           -4.790      -13.372        8.582   691.6
0.0580           -5.099      -13.626        8.527   687.1
0.0600           -5.259      -13.769        8.510   685.8
0.0620           -5.537      -13.947        8.410   677.7
0.0640           -5.922      -14.142        8.220   662.4
0.0660           -6.354      -14.310        7.956   641.1
0.0680           -6.920      -14.438        7.518   605.8
0.0700           -7.409      -14.565        7.156   576.7
0.0720           -7.949      -14.632        6.683   538.6
0.0740           -8.298      -14.712        6.414   516.9
0.0760           -8.603      -14.797        6.194   499.1
0.0780           -8.734      -14.872        6.139   494.7
0.0800           -9.017      -15.036        6.019   485.0
0.0820           -8.995      -15.243        6.247   503.5
0.0840           -9.241      -15.513        6.272   505.5
0.0860           -9.289      -15.821        6.531   526.3
0.0880           -9.533      -16.109        6.575   529.9
0.0900           -9.939      -16.337        6.398   515.6
0.0920          -10.183      -16.489        6.306   508.2
0.0940          -10.300      -16.544        6.244   503.2
0.0960          -10.395      -16.564        6.169   497.2
0.0980          -10.492      -16.651        6.159   496.3
0.1000          -11.123      -16.839        5.717   460.7
0.1020          -11.569      -16.930        5.361   432.0
0.1040          -11.845      -16.942        5.096   410.7
0.1060          -11.971      -16.920        4.949   398.8
0.1080          -11.984      -16.921        4.937   397.8
0.1100          -12.025      -16.991        4.966   400.2
0.1120          -12.206      -17.121        4.915   396.1
0.1140          -12.200      -17.258        5.059   407.7
0.1160          -12.304      -17.473        5.169   416.5
0.1180          -12.368      -17.618        5.250   423.1
0.1200          -12.476      -17.718        5.242   422.4
0.1220          -12.553      -17.722        5.169   416.5
0.1240          -12.594      -17.726        5.132   413.6
0.1260          -12.852      -17.707        4.855   391.2
0.1280          -12.882      -17.749        4.866   392.2
0.1300          -13.179      -17.721        4.542   366.0
0.1320          -13.147      -17.802        4.655   375.1
0.1340          -13.300      -17.915        4.615   371.9
0.1360          -13.371      -18.082        4.712   379.7
0.1380          -13.447      -18.283        4.836   389.7
0.1400          -13.500      -18.500        4.999   402.9
0.1420          -13.374      -18.683        5.309   427.8
0.1440          -13.499      -18.899        5.400   435.2
0.1460          -13.791      -19.052        5.262   424.0
0.1480          -14.014      -19.090        5.076   409.1
0.1500          -14.238      -19.101        4.863   391.9
0.1520          -14.396      -19.117        4.721   380.4
0.1540          -14.370      -19.069        4.699   378.7
0.1560          -14.589      -19.145        4.556   367.2
0.1580          -14.532      -19.190        4.657   375.3
0.1600          -14.489      -19.171        4.682   377.3
0.1620          -14.326      -19.134        4.808   387.5
0.1640          -14.368      -19.177        4.809   387.5
0.1660          -14.299      -19.329        5.030   405.4
0.1680          -14.380      -19.508        5.128   413.2
0.1700          -14.685      -19.600        4.915   396.1
0.1720          -15.028      -19.617        4.589   369.8
0.1740          -15.092      -19.549        4.457   359.2
0.1760          -15.235      -19.492        4.257   343.1
0.1780          -15.208      -19.482        4.274   344.4
0.1800          -15.165      -19.449        4.283   345.2
0.1820          -15.212      -19.439        4.228   340.7
0.1840          -15.296      -19.516        4.221   340.1
0.1860          -15.360      -19.716        4.356   351.0
0.1880          -15.618      -19.869        4.251   342.6
0.1900          -15.669      -20.029        4.360   351.3
0.1920          -15.706      -20.134        4.428   356.9
0.1940          -15.685      -20.196        4.511   363.5
0.1960          -15.519      -20.238        4.720   380.4
0.1980          -15.591      -20.282        4.691   378.1
0.2000          -15.774      -20.303        4.529   365.0
0.2020          -15.813      -20.204        4.391   353.9
0.2040          -15.759      -20.072        4.312   347.5
0.2060          -15.824      -20.043        4.219   340.0
0.2080          -15.940      -20.062        4.122   332.2
0.2100          -16.038      -20.244        4.206   338.9
0.2120          -15.989      -20.429        4.440   357.8
0.2140          -16.127      -20.645        4.518   364.1
0.2160          -16.344      -20.863        4.519   364.2
0.2180          -16.331      -20.951        4.620   372.3
0.2200          -16.310      -20.899        4.588   369.8
0.2220          -16.510      -20.791        4.282   345.0
0.2240          -16.360      -20.682        4.322   348.3
0.2260          -16.255      -20.609        4.354   350.9
0.2280          -16.544      -20.639        4.096   330.0
0.2300          -16.693      -20.695        4.003   322.6
0.2320          -16.745      -20.785        4.040   325.6
0.2340          -16.565      -20.839        4.273   344.4
0.2360          -16.617      -20.879        4.262   343.4
0.2380          -16.662      -20.903        4.241   341.8
0.2400          -16.668      -20.874        4.205   338.9
0.2420          -16.734      -20.881        4.147   334.2
0.2440          -16.856      -20.806        3.949   318.3
0.2460          -16.698      -20.715        4.017   323.7
0.2480          -16.768      -20.707        3.939   317.4
0.2500          -16.854      -20.671        3.818   307.7
0.2520          -16.800      -20.573        3.774   304.1
0.2540          -16.667      -20.414        3.747   302.0
0.2560          -16.775      -20.328        3.553   286.3
0.2580          -16.651      -20.241        3.590   289.3
0.2600          -16.635      -20.145        3.510   282.9
0.2620          -16.615      -20.157        3.542   285.4
0.2640          -16.659      -20.194        3.535   284.9
0.2660          -16.860      -20.240        3.380   272.3
0.2680          -17.000      -20.353        3.353   270.2
0.2700          -17.017      -20.472        3.455   278.4
0.2720          -17.144      -20.629        3.486   280.9
0.2740          -16.915      -20.800        3.885   313.1
0.2760          -16.730      -20.978        4.248   342.3
0.2780          -16.682      -21.114        4.432   357.1
0.2800          -16.829      -21.180        4.351   350.7
0.2820          -16.759      -21.193        4.434   357.4
0.2840          -16.779      -21.174        4.395   354.1
0.2860          -16.808      -21.089        4.280   344.9
0.2880          -16.837      -21.017        4.180   336.8
0.2900          -17.178      -20.961        3.783   304.9
0.2920          -17.068      -20.920        3.852   310.4
0.2940          -17.148      -20.938        3.790   305.5
0.2960          -17.189      -21.022        3.832   308.8
0.2980          -17.079      -21.070        3.992   321.7
0.3000          -17.100      -21.150        4.050   326.4
0.3020          -16.948      -21.134        4.185   337.3
0.3040          -16.944      -21.113        4.169   336.0
0.3060          -17.239      -21.178        3.939   317.5
0.3080          -17.173      -21.190        4.017   323.7
0.3100          -17.370      -21.188        3.818   307.7
0.3120          -17.331      -21.194        3.863   311.3
0.3140          -17.422      -21.254        3.833   308.9
0.3160          -17.387      -21.286        3.899   314.2
0.3180          -17.450      -21.279        3.829   308.6
0.3200          -17.484      -21.266        3.782   304.7
0.3220          -17.360      -21.276        3.916   315.6
0.3240          -17.302      -21.243        3.940   317.5
0.3260          -17.430      -21.221        3.791   305.5
0.3280          -17.317      -21.257        3.939   317.5
0.3300          -17.199      -21.284        4.085   329.2
0.3320          -17.265      -21.378        4.113   331.4
0.3340          -17.367      -21.424        4.057   326.9
0.3360          -17.182      -21.400        4.218   339.9
0.3380          -17.062      -21.339        4.277   344.7
0.3400          -16.872      -21.263        4.390   353.8
0.3420          -16.720      -21.213        4.492   362.0
0.3440          -16.725      -21.170        4.445   358.2
0.3460          -16.562      -21.016        4.453   358.9
0.3480          -16.534      -20.872        4.338   349.6
0.3500          -16.474      -20.892        4.418   356.1
0.3520          -16.554      -21.003        4.449   358.5
0.3540          -16.461      -21.065        4.605   371.1
0.3560          -16.575      -21.070        4.495   362.2
0.3580          -16.716      -21.057        4.341   349.8
0.3600          -16.713      -21.044        4.331   349.0
0.3620          -16.731      -21.009        4.278   344.8
0.3640          -16.540      -20.914        4.374   352.5
0.3660          -16.896      -20.855        3.959   319.0
0.3680          -17.001      -20.737        3.736   301.1
0.3700          -16.806      -20.688        3.881   312.8
0.3720          -16.914      -20.653        3.739   301.3
0.3740          -16.987      -20.612        3.626   292.2
0.3760          -17.184      -20.540        3.356   270.5
0.3780          -17.194      -20.546        3.352   270.1
0.3800          -17.002      -20.745        3.744   301.7
0.3820          -17.038      -21.028        3.990   321.6
0.3840          -17.265      -21.185        3.921   315.9
0.3860          -17.244      -21.308        4.064   327.5
0.3880          -17.417      -21.403        3.986   321.2
0.3900          -17.339      -21.399        4.060   327.2
0.3920          -17.427      -21.311        3.884   313.0
0.3940          -17.414      -21.294        3.880   312.7
0.3960          -17.536      -21.243        3.707   298.8
0.3980          -17.484      -21.177        3.693   297.6
0.4000          -17.455      -21.114        3.659   294.8
0.4020          -17.376      -21.030        3.654   294.5
0.4040          -17.425      -20.955        3.530   284.5
0.4060          -17.298      -20.884        3.586   289.0
0.4080          -17.469      -20.905        3.436   276.9
0.4100          -17.372      -20.961        3.589   289.2
0.4120          -17.304      -20.972        3.668   295.6
0.4140          -17.274      -21.003        3.730   300.6
0.4160          -17.291      -21.011        3.719   299.7
0.4180          -17.307      -21.101        3.795   305.8
0.4200          -17.215      -21.112        3.896   314.0
0.4220          -17.131      -21.093        3.962   319.3
0.4240          -17.092      -20.978        3.886   313.2
0.4260          -16.995      -20.918        3.923   316.2
0.4280          -16.943      -20.957        4.015   323.5
0.4300          -16.791      -21.036        4.244   342.0
0.4320          -17.065      -21.162        4.097   330.2
0.4340          -17.033      -21.229        4.196   338.1
0.4360          -17.186      -21.267        4.080   328.8
0.4380          -17.124      -21.217        4.093   329.9
0.4400          -17.384      -21.180        3.796   305.9
0.4420          -17.323      -21.147        3.824   308.2
0.4440          -17.206      -21.049        3.843   309.7
0.4460          -17.231      -20.957        3.726   300.3
0.4480          -17.287      -20.918        3.630   292.6
0.4500          -17.215      -20.980        3.765   303.4
0.4520          -17.189      -21.105        3.916   315.6
0.4540          -17.149      -21.195        4.046   326.1
0.4560          -17.150      -21.246        4.097   330.1
0.4580          -17.293      -21.269        3.976   320.4
0.4600          -17.381      -21.260        3.880   312.7
0.4620          -17.347      -21.339        3.991   321.6
0.4640          -17.546      -21.354        3.808   306.9
0.4660          -17.550      -21.375        3.825   308.2
0.4680          -17.622      -21.471        3.849   310.1
0.4700          -17.584      -21.556        3.972   320.1
0.4720          -17.772      -21.603        3.831   308.7
0.4740          -17.813      -21.639        3.827   308.4
0.4760          -17.872      -21.637        3.765   303.4
0.4780          -17.788      -21.675        3.887   313.2
0.4800          -17.858      -21.751        3.893   313.7
0.4820          -18.042      -21.821        3.779   304.6
0.4840          -18.287      -21.862        3.575   288.1
0.4860          -18.210      -21.769        3.559   286.8
0.4880          -18.258      -21.641        3.383   272.6
0.4900          -18.483      -21.545        3.063   246.8
0.4920          -18.297      -21.535        3.238   261.0
0.4940          -18.420      -21.577        3.158   254.5
0.4960          -18.451      -21.683        3.232   260.4
0.4980          -18.448      -21.829        3.381   272.5
0.5000          -18.331      -21.969        3.638   293.2
0.5020          -18.280      -22.024        3.744   301.7
0.5040          -18.231      -21.994        3.764   303.3
0.5060          -17.929      -21.938        4.009   323.1
0.5080          -18.018      -21.979        3.962   319.3
0.5100          -18.354      -21.993        3.639   293.3
0.5120          -18.341      -21.912        3.571   287.8
0.5140          -18.365      -21.832        3.467   279.4
0.5160          -18.215      -21.728        3.513   283.1
0.5180          -17.970      -21.593        3.623   292.0
0.5200          -17.875      -21.563        3.688   297.2
0.5220          -18.061      -21.646        3.585   288.9
0.5240          -18.181      -21.725        3.543   285.5
0.5260          -18.220      -21.794        3.574   288.1
0.5280          -18.208      -21.822        3.613   291.2
0.5300          -18.243      -21.771        3.528   284.3
0.5320          -18.084      -21.779        3.694   297.7
0.5340          -18.143      -21.783        3.639   293.3
0.5360          -18.207      -21.783        3.575   288.1
0.5380          -18.275      -21.747        3.472   279.8
0.5400          -18.365      -21.745        3.380   272.4
0.5420          -18.463      -21.813        3.350   270.0
0.5440          -18.239      -21.907        3.667   295.5
0.5460          -18.235      -22.022        3.787   305.2
0.5480          -18.142      -22.111        3.968   319.8
0.5500          -18.311      -22.070        3.759   302.9
0.5520          -18.370      -21.969        3.599   290.1
0.5540          -18.127      -21.871        3.744   301.7
0.5560          -17.854      -21.693        3.839   309.4
0.5580          -17.683      -21.425        3.742   301.6
0.5600          -17.823      -21.280        3.457   278.6
0.5620          -17.579      -21.147        3.567   287.5
0.5640          -17.638      -21.073        3.435   276.8
0.5660          -17.613      -20.998        3.385   272.8
0.5680          -17.596      -20.934        3.338   269.0
0.5700          -17.537      -20.997        3.460   278.9
0.5720          -17.589      -21.071        3.482   280.6
0.5740          -17.715      -21.124        3.409   274.7
0.5760          -17.880      -21.277        3.397   273.7
0.5780          -18.016      -21.427        3.411   274.9
0.5800          -18.012      -21.512        3.499   282.0
0.5820          -17.777      -21.650        3.873   312.1
0.5840          -17.797      -21.817        4.020   324.0
0.5860          -17.920      -21.879        3.959   319.0
0.5880          -17.757      -21.801        4.044   325.9
0.5900          -17.840      -21.712        3.872   312.0
0.5920          -17.831      -21.558        3.727   300.4
0.5940          -17.932      -21.401        3.469   279.6
0.5960          -17.917      -21.376        3.458   278.7
0.5980          -18.023      -21.395        3.372   271.7
0.6000          -18.028      -21.443        3.415   275.2
0.6020          -18.143      -21.481        3.338   269.0
0.6040          -18.115      -21.462        3.346   269.7
0.6060          -18.129      -21.471        3.342   269.3
0.6080          -18.281      -21.468        3.188   256.9
0.6100          -18.195      -21.452        3.258   262.5
0.6120          -18.276      -21.485        3.210   258.6
0.6140          -18.350      -21.603        3.254   262.2
0.6160          -18.346      -21.714        3.368   271.4
0.6180          -18.400      -21.782        3.382   272.6
0.6200          -18.434      -21.853        3.420   275.6
0.6220          -18.468      -21.853        3.385   272.8
0.6240          -18.392      -21.810        3.418   275.5
0.6260          -18.332      -21.855        3.522   283.9
0.6280          -18.281      -21.900        3.619   291.6
0.6300          -18.474      -21.955        3.481   280.5
0.6320          -18.455      -21.989        3.534   284.8
0.6340          -18.280      -22.010        3.730   300.6
0.6360          -18.266      -22.012        3.746   301.9
0.6380          -18.308      -22.037        3.729   300.5
0.6400          -18.612      -22.097        3.485   280.8
0.6420          -18.572      -22.126        3.554   286.4
0.6440          -18.813      -22.193        3.380   272.4
0.6460          -18.665      -22.220        3.556   286.5
0.6480          -18.621      -22.207        3.586   289.0
0.6500          -18.600      -22.190        3.590   289.3
0.6520          -18.565      -22.166        3.601   290.2
0.6540          -18.709      -22.126        3.417   275.4
0.6560          -18.490      -22.176        3.687   297.1
0.6580          -18.507      -22.261        3.754   302.5
0.6600          -18.744      -22.335        3.591   289.4
0.6620          -18.910      -22.406        3.496   281.7
0.6640          -18.717      -22.406        3.689   297.3
0.6660          -18.714      -22.449        3.734   300.9
0.6680          -18.681      -22.440        3.758   302.9
0.6700          -18.613      -22.400        3.787   305.2
0.6720          -18.559      -22.399        3.841   309.5
0.6740          -18.558      -22.379        3.821   307.9
0.6760          -18.546      -22.398        3.852   310.4
0.6780          -18.482      -22.362        3.880   312.7
0.6800          -18.530      -22.338        3.808   306.9
0.6820          -18.516      -22.228        3.712   299.1
0.6840          -18.654      -22.260        3.605   290.6
0.6860          -18.757      -22.223        3.466   279.3
0.6880          -18.705      -22.240        3.536   284.9
0.6900          -18.550      -22.173        3.623   291.9
0.6920          -18.511      -22.128        3.617   291.5
0.6940          -18.483      -22.073        3.590   289.3
0.6960          -18.448      -22.020        3.572   287.8
0.6980          -18.499      -22.009        3.509   282.8
0.7000          -18.373      -21.961        3.588   289.2
0.7020          -18.323      -21.896        3.574   288.0
0.7040          -18.166      -21.876        3.710   299.0
0.7060          -18.054      -21.840        3.786   305.1
0.7080          -18.103      -21.842        3.739   301.3
0.7100          -18.096      -21.907        3.812   307.2
0.7120          -18.065      -21.883        3.817   307.6
0.7140          -18.086      -21.800        3.714   299.3
0.7160          -17.866      -21.632        3.766   303.5
0.7180          -17.647      -21.415        3.768   303.6
0.7200          -17.651      -21.244        3.593   289.5
0.7220          -17.503      -21.167        3.664   295.2
0.7240          -17.534      -21.172        3.638   293.2
0.7260          -17.520      -21.152        3.633   292.8
0.7280          -17.683      -21.229        3.546   285.7
0.7300          -17.925      -21.350        3.425   276.0
0.7320          -18.196      -21.461        3.264   263.1
0.7340          -18.263      -21.439        3.176   255.9
0.7360          -18.130      -21.471        3.341   269.2
0.7380          -18.142      -21.532        3.390   273.2
0.7400          -18.145      -21.622        3.477   280.2
0.7420          -18.305      -21.782        3.477   280.2
0.7440          -18.240      -21.867        3.626   292.2
0.7460          -18.044      -21.946        3.902   314.5
0.7480          -18.238      -22.022        3.784   304.9
0.7500          -18.084      -22.063        3.979   320.7
0.7520          -18.364      -22.112        3.748   302.1
0.7540          -18.369      -21.985        3.617   291.4
0.7560          -18.149      -21.775        3.625   292.1
0.7580          -17.911      -21.600        3.689   297.3
0.7600          -17.900      -21.448        3.548   285.9
0.7620          -17.811      -21.424        3.613   291.2
0.7640          -17.499      -21.390        3.891   313.6
0.7660          -17.718      -21.394        3.676   296.3
0.7680          -17.807      -21.406        3.599   290.0
0.7700          -17.778      -21.472        3.694   297.7
0.7720          -17.635      -21.493        3.857   310.9
0.7740          -17.683      -21.497        3.814   307.4
0.7760          -17.637      -21.483        3.846   310.0
0.7780          -17.669      -21.453        3.784   304.9
0.7800          -17.726      -21.540        3.813   307.3
0.7820          -17.811      -21.627        3.816   307.5
0.7840          -17.694      -21.804        4.110   331.2
0.7860          -17.722      -21.971        4.249   342.4
0.7880          -17.781      -22.034        4.253   342.7
0.7900          -17.759      -21.965        4.206   338.9
0.7920          -18.023      -21.889        3.866   311.6
0.7940          -17.970      -21.771        3.801   306.3
0.7960          -18.033      -21.657        3.624   292.1
0.7980          -18.044      -21.597        3.554   286.4
0.8000          -18.008      -21.502        3.494   281.6
0.8020          -18.181      -21.542        3.361   270.8
0.8040          -18.206      -21.628        3.422   275.7
0.8060          -18.045      -21.662        3.617   291.5
0.8080          -17.976      -21.702        3.726   300.3
0.8100          -18.015      -21.756        3.741   301.5
0.8120          -18.154      -21.835        3.681   296.7
0.8140          -17.701      -21.840        4.139   333.5
0.8160          -17.869      -21.783        3.914   315.4
0.8180          -17.872      -21.741        3.869   311.8
0.8200          -17.909      -21.692        3.783   304.8
0.8220          -17.650      -21.537        3.887   313.3
0.8240          -17.523      -21.386        3.863   311.3
0.8260          -17.340      -21.331        3.990   321.6
0.8280          -17.519      -21.384        3.864   311.4
0.8300          -17.490      -21.452        3.962   319.3
0.8320          -17.578      -21.525        3.947   318.0
0.8340          -17.767      -21.575        3.807   306.8
0.8360          -17.681      -21.606        3.925   316.3
0.8380          -17.579      -21.657        4.078   328.7
0.8400          -17.585      -21.778        4.192   337.8
0.8420          -17.577      -21.920        4.343   350.0
0.8440          -17.542      -22.007        4.465   359.9
0.8460          -17.779      -22.071        4.291   345.8
0.8480          -17.873      -22.116        4.242   341.9
0.8500          -17.984      -22.143        4.159   335.2
0.8520          -18.047      -22.170        4.124   332.3
0.8540          -18.265      -22.115        3.850   310.3
0.8560          -18.194      -22.041        3.847   310.0
0.8580          -18.468      -21.894        3.426   276.1
0.8600          -18.451      -21.857        3.406   274.5
0.8620          -18.559      -21.818        3.259   262.6
0.8640          -18.686      -21.723        3.037   244.7
0.8660          -18.478      -21.611        3.133   252.5
0.8680          -18.400      -21.582        3.182   256.5
0.8700          -18.474      -21.647        3.174   255.8
0.8720          -18.400      -21.789        3.388   273.1
0.8740          -18.481      -21.914        3.434   276.7
0.8760          -18.566      -22.033        3.467   279.4
0.8780          -18.502      -22.100        3.598   289.9
0.8800          -18.365      -22.097        3.732   300.8
0.8820          -18.546      -22.069        3.523   283.9
0.8840          -18.706      -22.083        3.377   272.1
0.8860          -18.704      -22.119        3.415   275.2
0.8880          -18.649      -22.182        3.533   284.7
0.8900          -18.845      -22.209        3.364   271.1
0.8920          -18.803      -22.167        3.364   271.1
0.8940          -18.658      -22.084        3.427   276.1
0.8960          -18.598      -21.976        3.378   272.2
0.8980          -18.455      -21.912        3.457   278.6
0.9000          -18.463      -21.903        3.440   277.2
0.9020          -18.615      -21.930        3.314   267.1
0.9040          -18.646      -22.008        3.362   270.9
0.9060          -18.886      -22.161        3.274   263.9
0.9080          -18.989      -22.230        3.241   261.2
0.9100          -18.997      -22.262        3.265   263.1
0.9120          -18.646      -22.234        3.588   289.1
0.9140          -18.860      -22.241        3.380   272.4
0.9160          -18.884      -22.278        3.394   273.5
0.9180          -18.898      -22.240        3.342   269.3
0.9200          -18.663      -22.123        3.459   278.8
0.9220          -18.596      -22.079        3.483   280.7
0.9240          -18.854      -21.995        3.141   253.1
0.9260          -18.694      -21.920        3.226   260.0
0.9280          -18.580      -21.886        3.306   266.4
0.9300          -18.636      -21.832        3.196   257.5
0.9320          -18.586      -21.772        3.185   256.7
0.9340          -18.515      -21.741        3.225   259.9
0.9360          -18.392      -21.769        3.377   272.1
0.9380          -18.299      -21.780        3.481   280.5
0.9400          -18.254      -21.738        3.484   280.8
0.9420          -18.194      -21.740        3.545   285.7
0.9440          -18.144      -21.739        3.595   289.7
0.9460          -18.190      -21.744        3.554   286.4
0.9480          -18.083      -21.777        3.694   297.7
0.9500          -17.906      -21.874        3.967   319.7
0.9520          -17.771      -21.921        4.150   334.5
0.9540          -17.722      -22.054        4.332   349.1
0.9560          -17.785      -22.168        4.383   353.2
0.9580          -18.008      -22.213        4.204   338.8
0.9600          -17.904      -22.193        4.289   345.7
0.9620          -17.838      -22.171        4.334   349.2
0.9640          -17.971      -22.051        4.080   328.8
0.9660          -17.826      -21.883        4.057   326.9
0.9680          -18.002      -21.764        3.761   303.1
0.9700          -18.010      -21.720        3.710   299.0
0.9720          -18.031      -21.761        3.730   300.6
0.9740          -18.137      -21.815        3.678   296.4
0.9760          -18.333      -21.835        3.502   282.2
0.9780          -18.204      -21.896        3.692   297.5
0.9800          -18.172      -22.001        3.830   308.6
0.9820          -18.116      -22.081        3.965   319.5
0.9840          -18.135      -22.173        4.038   325.4
0.9860          -18.176      -22.165        3.989   321.4
0.9880          -18.018      -22.142        4.124   332.4
0.9900          -18.117      -22.178        4.060   327.2
0.9920          -18.229      -22.172        3.942   317.7
0.9940          -18.207      -22.092        3.885   313.1
0.9960          -18.028      -21.990        3.962   319.3
0.9980          -18.051      -21.939        3.888   313.4
1.0000          -18.151      -21.851        3.700   298.2
1.0020          -18.048      -21.780        3.732   300.7
1.0040          -18.085      -21.824        3.739   301.3
1.0060          -18.085      -21.860        3.776   304.3
1.0080          -18.128      -21.914        3.786   305.1
1.0100          -18.196      -21.907        3.711   299.1
1.0120          -18.171      -21.930        3.759   302.9
1.0140          -18.359      -21.966        3.606   290.6
1.0160          -18.418      -22.031        3.613   291.2
1.0180          -18.276      -22.129        3.853   310.5
1.0200          -18.399      -22.174        3.775   304.2
1.0220          -18.305      -22.176        3.870   311.9
1.0240          -18.277      -22.165        3.887   313.3
1.0260          -18.241      -22.202        3.961   319.2
1.0280          -18.408      -22.260        3.852   310.4
1.0300          -18.381      -22.280        3.899   314.2
1.0320          -18.384      -22.250        3.866   311.6
1.0340          -18.537      -22.188        3.650   294.2
1.0360          -18.283      -22.131        3.848   310.1
1.0380          -18.167      -22.143        3.976   320.4
1.0400          -18.230      -22.135        3.905   314.7
1.0420          -17.927      -22.053        4.126   332.5
1.0440          -17.734      -21.953        4.219   340.0
1.0460          -17.881      -21.791        3.910   315.1
1.0480          -18.007      -21.688        3.681   296.6
1.0500          -18.022      -21.658        3.636   293.0
1.0520          -18.269      -21.685        3.416   275.3
1.0540          -18.019      -21.631        3.612   291.0
1.0560          -18.143      -21.633        3.489   281.2
1.0580          -17.948      -21.619        3.672   295.9
1.0600          -18.069      -21.646        3.576   288.2
1.0620          -18.176      -21.684        3.509   282.8
1.0640          -18.291      -21.675        3.384   272.7
1.0660          -18.136      -21.707        3.571   287.8
1.0680          -18.087      -21.717        3.630   292.5
1.0700          -17.962      -21.679        3.717   299.5
1.0720          -18.209      -21.649        3.439   277.2
1.0740          -18.277      -21.604        3.326   268.1
1.0760          -18.091      -21.581        3.491   281.3
1.0780          -17.815      -21.645        3.830   308.7
1.0800          -17.876      -21.697        3.821   307.9
1.0820          -17.945      -21.741        3.795   305.9
1.0840          -17.867      -21.870        4.002   322.5
1.0860          -17.719      -21.965        4.245   342.1
1.0880          -17.730      -21.981        4.251   342.6
1.0900          -17.727      -21.956        4.230   340.9
1.0920          -17.834      -21.887        4.054   326.7
1.0940          -17.739      -21.804        4.064   327.5
1.0960          -17.600      -21.710        4.110   331.2
